Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120048 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,32,19,13,0,15,0,0,0,0,16,1,8,24,10KS0030PHD
120048 ,KL ,875 ,BS ,0023 ,Forestry ,0060 ,Forest Science ,4,3,1,0,4,0,0,0,0,0,0,4,0,10KL0060BS
120048 ,KL ,875 ,BS ,0023 ,Forestry ,0062 ,Urban Forestry ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0062BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0052 ,Biological Sciences ,28,16,12,0,25,1,0,1,0,0,1,27,1,10KL0052BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0053 ,Social Science ,17,5,12,0,14,1,1,0,0,0,1,15,2,10KL0053BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0056 ,Environmental Soil & Water Sci ,6,2,4,0,6,0,0,0,0,0,0,5,1,10KL0056BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,63,42,21,0,58,2,0,1,0,0,2,62,1,10KL0057BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,14,13,1,0,13,0,0,1,0,0,0,14,0,10KL3870BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,29,12,17,0,25,2,0,1,0,0,1,28,1,10KL3871BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,34,19,15,0,28,4,0,0,0,0,2,33,1,10KL3872BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,9,4,5,0,9,0,0,0,0,0,0,9,0,10KL3873BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3986 ,Social Sciences ,1,0,1,0,0,0,1,0,0,0,0,1,0,10KL3986BS
120048 ,KL ,875 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,6,5,1,0,5,1,0,0,0,0,0,6,0,10KL0064BS
120048 ,KL ,875 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,63,41,22,0,59,0,0,3,0,0,1,62,1,10KL0065BS
120048 ,KL ,875 ,BS ,0063 ,Horticulture ,0066 ,Urban Forestry ,5,4,1,0,4,0,0,1,0,0,0,5,0,10KL0066BS
120048 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,63,29,34,0,50,1,1,1,0,10,0,34,29,10KS0190MS
120048 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,1,0,10KS0190MSX
120048 ,KL ,875 ,NDEG ,0190 ,Natural Res & Env Sciences ,  ,  ,7,5,2,0,6,1,0,0,0,0,0,5,2,10KS0190NDEG
120048 ,KL ,875 ,NONE ,0051 ,Natural Resrcs & Environ Sci ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0051NONE
120048 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,44,26,18,0,18,2,0,1,0,23,0,13,31,10KS0190PHD
120048 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,22,2,20,0,12,2,1,2,0,5,0,11,11,10KS0191MS
120048 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,33,9,24,0,17,2,2,3,0,9,0,13,20,10KS0191PHD
120048 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,2763,1149,1611,3,2187,147,88,83,1,216,41,2383,380, 
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
120048 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120048 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,252,181,71,0,75,16,8,2,0,138,13,93,159,10KS9875MBA
120048 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,145,94,51,0,85,23,7,9,0,16,5,119,26,10KM0075BS
120048 ,KM ,260 ,BS ,0075 ,Finance ,0076 ,"Bus Finance, Inv & Fin Inst ",626,427,199,0,426,121,17,30,1,25,6,563,63,10KM0076BS
120048 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,2,0,2,0,1,0,0,0,0,1,0,1,1,10KS0075MS
120048 ,KM ,260 ,MS ,0075 ,Finance ,3927 ,International Program ,101,55,46,0,8,5,0,1,0,77,10,6,95,10KS3927MS
120048 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,19,15,4,0,8,0,0,0,0,11,0,3,16,10KS0075PHD
120048 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,842,454,387,1,524,145,26,40,2,92,13,692,150,10KM0071BS
120048 ,KM ,346 ,BS ,0071 ,Accountancy ,0072 ,Accountancy (BS/Master Prg) ,55,28,27,0,35,14,1,1,0,3,1,51,4,10KM0072BS
120048 ,KM ,346 ,CERT ,0071 ,Accountancy ,  ,  ,3,2,1,0,2,0,1,0,0,0,0,3,0,10KM0071CERT
120048 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,100,54,46,0,68,19,1,1,1,9,1,81,19,10KS0071MAS
120048 ,KM ,346 ,MS ,0071 ,Accountancy ,0193 ,Tax ,56,24,32,0,35,18,2,0,0,0,1,52,4,10KS0193MS
120048 ,KM ,346 ,MS ,0071 ,Accountancy ,3928 ,International Program ,76,43,33,0,15,12,0,0,0,45,4,15,61,10KS3928MS
120048 ,KM ,346 ,NDEG ,0071 ,Accountancy ,0073 ,Accountancy Postb ,48,23,25,0,35,7,4,2,0,0,0,46,2,10KM0073NDEG
120048 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,21,13,8,0,11,4,1,0,0,5,0,6,15,10KS0071PHD
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0080 ,Marketing ,403,161,242,0,289,44,18,30,1,17,4,367,36,10KM0080BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,91,33,58,0,67,13,3,7,0,1,0,84,7,10KM0081BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0082 ,Production ,4,3,1,0,3,0,0,0,0,1,0,2,2,10KM0082BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0083 ,Management Science ,43,25,18,0,26,10,1,3,0,2,1,36,7,10KM0083BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0084 ,Industrial Distribution Mgt ,29,21,8,0,14,9,0,0,0,5,1,22,7,10KM0084BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0085 ,Management Info Systems ,113,77,36,0,69,18,7,7,0,12,0,88,25,10KM0085BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0086 ,Entrepreneurship ,82,55,27,0,53,6,11,5,0,4,3,75,7,10KM0086BS
120048 ,KM ,902 ,BS ,0079 ,Business Administration ,0087 ,Food and Agribusiness Mgt ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KM0087BS
120048 ,KM ,902 ,MS ,0079 ,Business Administration ,3926 ,International Managers Program ,43,32,11,0,1,0,0,0,0,40,2,1,42,10KS3926MS
120048 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,51,26,25,0,10,2,0,1,0,38,0,4,47,10KS0079PHD
120048 ,KM ,938 ,MBA ,0197 ,Executive MBA Program ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0197MBA
120048 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,53,44,9,0,39,7,2,2,0,0,3,50,3,10KS3924MBA2
120048 ,KM ,952 ,BS ,0074 ,Economics ,  ,  ,30,20,10,0,19,8,0,0,0,3,0,26,4,10KM0074BS
120048 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,33,21,12,0,2,0,1,0,0,30,0,3,30,10KM0067NDEG
120048 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,385,241,144,0,269,43,17,29,1,23,3,326,59,10KM0070NONE
120048 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,3708,2174,1533,1,2191,544,128,170,6,598,71,2817,891, 
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
120048 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120048 ,KN ,335 ,BS ,0092 ,Education General ,  ,  ,295,29,266,0,249,16,11,18,1,0,0,290,5,10KN0092BS
120048 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,71,5,66,0,63,1,5,1,0,0,1,70,1,10KN0093BS
120048 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KS0093CAS
120048 ,KN ,570 ,EDD ,0093 ,Special Education ,  ,  ,25,6,19,0,10,1,0,0,0,14,0,9,16,10KS0093EDD
120048 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,44,4,40,0,32,3,2,2,0,4,1,39,5,10KS0093EDM
120048 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS0093MS
120048 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,7,1,6,0,3,0,1,0,0,3,0,3,4,10KS0093PHD
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3958 ,ECh: Art ,2,0,2,0,1,1,0,0,0,0,0,2,0,10KN3958BS
120048 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3963 ,ECh: Earth Science ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KN3963BS
