Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0052 ,Biological Sciences ,1,0,1,0,0,0,0,1,0,0,0,1,0,10KL0052BS,,,,,
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,60,33,26,1,52,4,0,4,0,0,0,60,0,10KL0057BS,,,,,
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,17,13,4,0,14,0,0,1,0,0,2,16,1,10KL3870BS,,,,,
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,46,17,29,0,36,5,0,4,0,0,1,45,1,10KL3871BS,,,,,
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,42,19,23,0,36,3,0,3,0,0,0,42,0,10KL3872BS,,,,,
120088 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,11,5,6,0,10,0,0,1,0,0,0,9,2,10KL3873BS,,,,,
120088 ,KL ,875 ,BS ,0063 ,Horticulture ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0063BSX,,,,,
120088 ,KL ,875 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,5,2,3,0,3,0,0,2,0,0,0,5,0,10KL0064BS,,,,,
120088 ,KL ,875 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,51,33,18,0,47,0,0,1,0,0,3,50,1,10KL0065BS,,,,,
120088 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,54,29,25,0,43,3,0,1,0,5,2,32,22,10KS0190MS,,,,,
120088 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,1,1,0,0,0,0,0,0,0,0,1,1,0,10KS0190MSX,,,,,
120088 ,KL ,875 ,NDEG ,0190 ,Natural Res & Env Sciences ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0190NDEG,,,,,
120088 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,35,19,16,0,17,2,0,1,0,15,0,14,21,10KS0190PHD,,,,,
120088 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,24,4,20,0,17,2,0,1,0,4,0,11,13,10KS0191MS,,,,,
120088 ,KL ,971 ,NDEG ,0191 ,Nutritional Sciences ,  ,  ,1,0,1,0,0,0,0,0,0,0,1,1,0,10KS0191NDEG,,,,,
